Ano.RO.AC.AM.RR.PA.AP.TO.MA.PI.CE.RN.PB.PE.AL.SE.BA.MG.ES.RJ.SP.PR.SC.RS.MS.MT.GO.DF. Total
2020.75.75.41.67.55.88.61.03.54.22.38.16.73.91.52.21.73.45.85.51.70.72.71.53.71.01.72.11.68.52.70.51.90.00.78.41.60.84.80.92.83.55.86.76.79.93.72.55.75.16.72.47.77.34.74.43
2021.67.50.33.21.55.43.46.77.39.66.37.48.68.58.50.17.71.60.68.54.63.21.63.39.65.61.69.78.73.95.62.33.79.04.72.73.61.79.74.36.77.14.77.48.65.57.65.16.65.55.61.35.75.47.67.05
2022.73.60.44.93.60.39.53.11.44.94.45.33.71.74.60.23.83.04.83.08.69.72.74.36.74.14.86.06.81.87.73.38.85.14.74.44.60.71.76.76.82.22.85.01.74.51.80.28.73.54.65.06.79.80.73.32
